iter	Passed	Remaining
402	10665	42265
403	10694	42250
404	10723	42231
405	10748	42199
406	10777	42183
407	10799	42140
408	10825	42109
409	10848	42070
410	10879	42061
411	10909	42051
412	10938	42031
413	10960	41990
414	10988	41967
415	11016	41947
416	11039	41909
417	11064	41877
418	11095	41867
419	11122	41841
420	11153	41833
421	11178	41800
422	11202	41763
423	11227	41731
424	11258	41721
425	11287	41704
426	11313	41677
427	11344	41666
428	11369	41633
429	11396	41611
430	11423	41586
431	11451	41563
432	11480	41545
433	11508	41524
434	11541	41522
435	11567	41496
436	11597	41480
437	11618	41434
438	11648	41419
439	11670	41375
440	11696	41348
441	11724	41328
442	11754	41314
443	11779	41280
444	11811	41273
445	11838	41249
446	11870	41239
447	11900	41226
448	11932	41218
449	11960	41197
450	11989	41178
451	12009	41130
452	12036	41104
453	12061	41071
454	12087	41043
455	12113	41016
456	12136	40978
457	12161	40945
458	12186	40913
459	12215	40893
460	12242	40871
461	12268	40842
462	12293	40808
463	12316	40773
464	12338	40731
465	12366	40710
466	12405	40721
467	12429	40689
468	12452	40650
469	12474	40608
470	12505	40595
471	12528	40557
472	12555	40533
473	12578	40494
474	12603	40462
475	12620	40407
476	12642	40367
477	12663	40320
478	12683	40275
479	12700	40217
480	12720	40172
481	12740	40124
482	12761	40080
483	12778	40025
484	12797	39975
485	12815	39922
486	12835	39878
487	12853	39825
488	12870	39770
489	12887	39715
490	12909	39675
491	12928	39625
492	12948	39579
493	12964	39524
494	12985	39481
495	13004	39433
496	13024	39387
497	13041	39334
498	13062	39290
499	13082	39247
500	13099	39194
501	13124	39163
502	13148	39130
503	13171	39097
504	13194	39060
505	13214	39016
506	13232	38966
507	13257	38938
508	13277	38894
509	13299	38855
510	13320	38813
511	13343	38778
512	13360	38727
513	13382	38688
514	13400	38639
515	13420	38597
516	13438	38549
517	13461	38513
518	13481	38470
519	13502	38431
520	13522	38386
521	13571	38426
522	13590	38379
523	13611	38340
524	13630	38294
525	13657	38272
526	13677	38230
527	13702	38199
528	13720	38152
529	13756	38154
530	13776	38111
531	13798	38075
532	13817	38029
533	13840	37995
534	13859	37953
535	13883	37919
536	13904	37881
537	13960	37937
538	13982	37899
539	14007	37871
540	14028	37834
541	14051	37800
542	14072	37760
543	14097	37730
544	14118	37693
